SMILES,pchembl_value
CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1,10.17
CCCCNC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,10.12
Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CC(F)(F)F,10.07
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,10.05
Cn1cc(-c2ccc3cnc(NC(=O)C4CCN(S(C)(=O)=O)CC4)cc3c2)cn1,10
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,9.92
COC(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,9.8
COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,9.8
CCOC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,9.8
CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,9.79
Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1C(C)C,9.73
COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,9.66
CCOC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN)CC1,9.66
Cc1nc(NCc2c(F)cccc2F)c2c(-c3ccnc(N)c3)c[nH]c2n1,9.62
CN(C)c1nccc(-c2cnn3ncccc23)n1,9.62
O=C1N=C(Nc2c(Cl)cccc2Cl)S/C1=C\c1ccc2nccnc2c1,9.6
COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,9.56
CC(C)CN1CCC(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)CC1,9.55
O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,9.54
O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,9.52
COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4OC)c3c2s1,9.44
COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4F)c3c2s1,9.44
NC(COc1cncc(-c2ccc3c(c2)C(=Cc2ccc[nH]2)C(=O)N3)c1)Cc1ccccc1,9.4
Fc1c(-c2ccncc2)ccc2ncn(-c3ccc4c(c3)OCO4)c12,9.3
c1cc(-c2ccc3ncn(-c4ccc5c(c4)OCO5)c3n2)ccn1,9.3
COC(=O)c1ccc(-n2cnc3ccc(-c4ccncc4)c(F)c32)cc1,9.3
O=C(O)c1ccc(-n2cnc3ccc(-c4ccncc4)nc32)cc1,9.3
NC(=O)c1ccc(-n2cnc3ccc(-c4ccncc4)c(F)c32)nc1,9.3
Cc1nc2ccc(-c3ccncc3)nc2n1-c1ccc(CN2CCOCC2)cc1,9.3
Cc1nc2ccc(-c3ccncc3)nc2n1-c1ccc2c(c1)OCC(=O)N2,9.3
CC(=O)N1C[C@@H]2[C@H](C1)[C@H]2n1c(C)nc2ccc(-c3ccncc3)nc21,9.3
Cc1nc2ccc(-c3cnn(C4CC4)c3)nc2n1-c1ccc(N2CCOCC2)c(F)c1,9.3
CCOC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](C(=O)N(C)C)CC1,9.22
O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,9.11
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1Cl,9.1
Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,9.1
CN1Cc2nn(C)c(C#N)c2-c2cnc3[nH]cc(c3c2)-c2cn(nc2C(F)(F)F)CCCC1=O,9.04
COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4F)c3c2s1,9.03
COC(=N)c1nc2ccc3ncnc(Nc4ccc(C)cc4)c3c2s1,9.01
CCNC(=O)NC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,9
COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Cl)c3c2s1,9
COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4F)c3c2s1,9
Nc1nccc(-c2c[nH]c3cnccc23)n1,9
c1cc(-c2c[nH]c3cnccc23)ccn1,9
O=C(Nc1ccc(N2CCNCC2)nc1)c1n[nH]cc1/C=C/c1cccnc1,9
CN1CCC(Oc2ccc(NC(=O)c3n[nH]cc3/C=C/c3cccnc3)cn2)CC1,9
Cc1n[nH]c2ccc(-c3cncc(N[C@H]4CCNC[C@@H]4F)n3)cc12,9
Cc1n[nH]c2ccc(-c3cncc(N[C@H]4CC[C@H](O)CC4)n3)cc12,9
CN(C)C(=O)Nc1cncc(-c2ccc3[nH]nc(C(=O)Nc4cccnc4)c3c2)c1,9
CN1CCN(c2ccc(NC(=O)c3n[nH]c4ccc(-c5cncc(NC(=O)C6CC6)c5)cc34)cn2)CC1,9
CN1CCN(Cc2ccc(NC(=O)c3n[nH]c4ccc(-c5cccnc5)cc34)cn2)CC1,9
O=C(Nc1ccnnc1)c1n[nH]c2ccc(-c3cccnc3)cc12,9
O=C(Nc1ccc(CN2CCCC2)cc1)c1n[nH]c2ccc(-c3cccnc3F)cc12,9
COc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CO)c4)cc23)cn1,9
CN1CCN(c2ccc(NC(=O)c3n[nH]c4ccc(-c5cncc(CN6CCC(F)(F)C6)c5)cc34)cn2)CC1,9
O=C(N[C@H]1C[C@@H]1c1ccccc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
Cc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
COc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
CN(C)CCN(C)c1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
NC(=O)c1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1ccc(C(=O)N2CCCC2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
CS(=O)(=O)c1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1ccc(N2CCC(O)CC2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
C[C@@H]1CN(c2ccc(NC(=O)c3n[nH]c4ccc(-c5cncc(CN6CCCCC6)c5)cc34)cn2)C[C@H](C)O1,9
O=C(Nc1ccnnc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
O=C(Nc1cnccn1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
Nc1ncc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(CN4CC5CC(C4)O5)c3)cc12,9
CC(C)NC(=O)c1n[nH]c2ccc(-c3cncc(NC4CCNCC4)n3)cc12,9
CN1CCC(n2cc(NC(=O)c3n[nH]c4ccc(-c5cnn(C)c5)cc34)cn2)CC1,9
