smiles,target
COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCN)C4CCCCC4)ccc3Cl)c(=O)[nH]c2n1,1.0
Cc1cc(-c2ccc3ncc4nnn(Cc5ccc(F)cc5)c4c3c2)ccn1,1.0
Cc1ccc([C@@H](C)n2nnc3cnc4ccc(-c5ccnc(C)c5)cc4c32)cc1,1.0
Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccccc5)c4c3c2)ccn1,1.0
Cc1cc(-c2ccc3ncc4nnn([C@H](C)c5ccc(F)cc5)c4c3c2)ccn1,1.0
Cc1cc(-c2ccc3ncc4nnn([C@H](C)c5ccccc5)c4c3c2)ccn1,1.0
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccncc4)cc3c21,0.0
Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(F)cc5)c4c3c2)ccn1,0.0
Cc1ccc([C@H](C)n2nnc3cnc4ccc(-c5ccnc(C)c5)cc4c32)cc1,0.0
Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(Cl)cc5)c4c3c2)ccn1,0.0
COc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(F)cc5)c4c3c2)ccn1,0.0
c1cc(-c2ccc3c(c2)OCO3)nc(Nc2ccc3c(c2)OCO3)n1,1.0
NC(=O)c1cc(-c2cn3ccncc3n2)ccc1O,0.0
Cc1nc(NCc2cccs2)c2c(-c3ccnc(N)c3)c[nH]c2n1,1.0
O=C1NC(N[C@H]2c3ccccc3C[C@@H]2O)=N/C1=C\c1ccc2ncsc2c1,1.0
Cc1nc(NCc2ccoc2)c2c(-c3ccnc(N)c3)c[nH]c2n1,1.0
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc(C(N)=O)cc4)cc3c21,0.0
COc1ccc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(F)cc5)c4c3c2)cc1,0.0
Cc1cc(-c2ccc3ncc4nnn([C@@H](C)c5ccc(F)cc5)c4c3c2)ccc1F,0.0
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc(C#N)cc4)cc3c21,0.0
C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccccc4)cc3c21,0.0
Nc1nccc(-c2c[nH]c3c(Cl)cccc23)n1,1.0
Nc1nccc(-c2c[nH]c3cc(C(F)(F)F)ccc23)n1,1.0
Nc1nccc(-c2c[nH]c3c(Br)cccc23)n1,1.0
N#Cc1cccc2c(-c3ccnc(N)n3)c[nH]c12,1.0
COc1cccc2c(-c3ccnc(N)n3)c[nH]c12,1.0
Nc1nccc(-c2c[nH]c3cc(Cl)ccc23)n1,1.0
COc1ccc2c(-c3ccnc(N)n3)c[nH]c2c1,1.0
Nc1nccc(-c2c[nH]c3ccccc23)n1,1.0
COCCn1cc(-c2ccnc(N)n2)c2cc(Br)ccc21,0.0
Cn1ccc2cc(/C=C3\N=C(NC4CCCCCC4)NC3=O)ccc21,0.0
O=C1NC(NC2CCCCCC2)=N/C1=C\c1ccc2[nH]ccc2c1,0.0
c1nc(NCC2CCCOC2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1,1.0
Clc1cc(Cl)cc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)c1,0.0
Clc1ccc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)cc1,0.0
Clc1ccc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)cc1Cl,0.0
c1cnn2ncc(-c3ccnc(N4CCC5(CCOC5)C4)n3)c2c1,1.0
c1cc(-c2cn(CCC3CC3)c3cnccc23)ccn1,1.0
COc1ccc2ncc(-c3ccnc(SC)n3)n2n1,1.0
COc1ccc2ncc(-c3ccnc(N)n3)n2n1,0.0
CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc(SC)n3)n2n1,0.0
CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc(S(C)(=O)=O)n3)n2n1,0.0
CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc(N)n3)n2n1,0.0
CC[C@@H](CO)Nc1ccc2ncc(-c3ccnc([S+](C)[O-])n3)n2n1,0.0
COc1ccc2ncc(-c3ccnc([S+](C)[O-])n3)n2n1,0.0
CN(C)c1nccc(-c2cnc3cccnn23)n1,0.0
CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,1.0
COc1ccc(-c2c3c4cc(OC)c(O)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,1.0
COc1cc(C)c(-c2c3c4cc(OC)c(O)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O,1.0
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,1.0
CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,1.0
COc1ncc(-c2ccnc(N(C)C)n2)s1,0.0
Cc1ccsc1CN(C)c1ncnc2ccc(-c3ccc(CO)o3)cc12,1.0
CCOC(=O)c1ccc(-c2ccc3ncnc(NCc4cccs4)c3c2)o1,0.0
c1coc(-c2ccc3ncnc(NCc4cccs4)c3c2)c1,0.0
