action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,pIC50
,,13328237,[],CHEMBL2388921,Inhibition of recombinant DYRK1A (unknown origin) after 120 mins in presence of [33P]-ATP,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,,,CHEMBL2384972,ACS Med Chem Lett,2013,"{'bei': '22.66', 'le': '0.51', 'lle': '4.94', 'sei': '11.69'}",CHEMBL2386744,,CHEMBL2386744,9.80,0,http://www.openphacts.org/units/Nanomolar,1897227,=,1,1,=,,IC50,nM,,0.16,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.16,9.796
,429615,17791281,[],CHEMBL3889022,"HotSpot Technology Assay: The DYRK1A and DYRK1B kinase assays to determine IC50 values were performed by Reaction Biology Corporation using HotSpot technology Worldwide website: reactionbiology.com, Malvern, PA). Kinase reaction with specific kinase/ substrate pair along with required cofactors was carried out in 20 mM Hepes pH 7.5, 10 mM MgCl2, 1 mM EGTA, 0.02% Brij35, 0.02 mg/ml BSA, 0.1 mM Na3VO4, 2 mM DTT, 1% DMSO. Purified recombinant kinase was incubated with serial 3-fold dilutions of test compounds starting at a final concentration of 10 μM. Reaction was initiated by addition of a mixture of ATP (Sigma, St. Louis MO) and 33P ATP (Perkin Elmer, Waltham MA) to a final concentration of 10 μM and was carried out at room temperature for 120 min, followed by spotting of the reaction onto P81 ion exchange filter paper (Whatman Inc., Piscataway, NJ). Unbound phosphate was removed by extensive washing of filters in 0.75% Phosphoric acid.",B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,,,CHEMBL3886922,,2016,"{'bei': '22.66', 'le': '0.51', 'lle': '4.94', 'sei': '11.69'}",CHEMBL2386770,,CHEMBL2386770,9.80,0,http://www.openphacts.org/units/Nanomolar,2894518,=,37,1,=,,IC50,nM,,0.16,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.16,9.796
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25675492,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '0.6667', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '40.0'}]",CHEMBL5378024,Inhibition of recombinant human DYRK1A preincubated with compound for 10 mins followed by ATP addition and measured after 30 mins by Western blot analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,,,CHEMBL5375975,J Med Chem,2023,"{'bei': '23.89', 'le': '0.51', 'lle': '4.40', 'sei': '11.53'}",CHEMBL2386747,,CHEMBL2386747,9.66,1,http://www.openphacts.org/units/Nanomolar,4001538,=,1,1,=,,IC50,nM,,0.22,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.22,9.658
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24997078,[],CHEMBL5231980,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,O=c1oc2cc(O)ccc2c2c1[nH]c1ccc(O)cc12,,,CHEMBL5230136,Eur J Med Chem,2021,"{'bei': '35.63', 'le': '0.65', 'lle': '6.68', 'sei': '11.01'}",CHEMBL1946917,,CHEMBL1946917,9.52,0,http://www.openphacts.org/units/Nanomolar,3909799,=,1,1,=,,IC50,nM,,0.3,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.3,9.523
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24772818,[],CHEMBL5127020,Inhibition of DYRK1A (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4F)c3c2s1,,,CHEMBL5126508,Eur J Med Chem,2022,"{'bei': '24.63', 'le': '0.48', 'lle': '5.34', 'sei': '10.15'}",CHEMBL3894571,,CHEMBL3894571,9.44,1,http://www.openphacts.org/units/Nanomolar,3865615,=,1,1,=,,IC50,nM,,0.36,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.36,9.444
,,13328236,[],CHEMBL2388921,Inhibition of recombinant DYRK1A (unknown origin) after 120 mins in presence of [33P]-ATP,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4OC)c3c2s1,,,CHEMBL2384972,ACS Med Chem Lett,2013,"{'bei': '24.63', 'le': '0.48', 'lle': '5.34', 'sei': '10.15'}",CHEMBL2386745,,CHEMBL2386745,9.44,0,http://www.openphacts.org/units/Nanomolar,1897228,=,1,1,=,,IC50,nM,,0.36,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.36,9.444
,,13328233,[],CHEMBL2388921,Inhibition of recombinant DYRK1A (unknown origin) after 120 mins in presence of [33P]-ATP,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4F)c3c2s1,,,CHEMBL2384972,ACS Med Chem Lett,2013,"{'bei': '24.31', 'le': '0.47', 'lle': '4.80', 'sei': '10.77'}",CHEMBL2386748,,CHEMBL2386748,9.03,0,http://www.openphacts.org/units/Nanomolar,1897231,=,1,1,=,,IC50,nM,,0.94,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.94,9.027
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22840022,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '2.0', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '120.0'}]",CHEMBL4719505,Inhibition of human DYRK1A using [33P]-ATP incubated for 120 mins,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C)cc4)c3c2s1,,,CHEMBL4715790,J Med Chem,2016,"{'bei': '25.78', 'le': '0.49', 'lle': '4.75', 'sei': '10.75'}",CHEMBL2386764,,CHEMBL2386764,9.01,1,http://www.openphacts.org/units/Nanomolar,3546568,=,1,1,=,,IC50,nM,,0.98,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.98,9.009
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,22840021,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '2.0', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '120.0'}]",CHEMBL4719505,Inhibition of human DYRK1A using [33P]-ATP incubated for 120 mins,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4F)c3c2s1,,,CHEMBL4715790,J Med Chem,2016,"{'bei': '23.22', 'le': '0.47', 'lle': '4.25', 'sei': '10.75'}",CHEMBL3971170,,CHEMBL3971170,9.00,0,http://www.openphacts.org/units/Nanomolar,3546567,=,1,1,=,,IC50,nM,,0.99,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.99,9.004
,,13328235,[],CHEMBL2388921,Inhibition of recombinant DYRK1A (unknown origin) after 120 mins in presence of [33P]-ATP,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Cl)c3c2s1,,,CHEMBL2384972,ACS Med Chem Lett,2013,"{'bei': '23.22', 'le': '0.47', 'lle': '4.25', 'sei': '10.75'}",CHEMBL2386746,,CHEMBL2386746,9.00,0,http://www.openphacts.org/units/Nanomolar,1897229,=,1,1,=,,IC50,nM,,0.99,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,0.99,9.004
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623875,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(N[C@H]2C3CC4CC2C[C@](O)(C4)C3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '22.81', 'le': '0.44', 'lle': '6.35', 'sei': '10.39'}",CHEMBL5428651,,CHEMBL5428651,9.00,0,http://www.openphacts.org/units/Nanomolar,3991445,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623877,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4CC(CC2C4)C3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '24.69', 'le': '0.47', 'lle': '5.71', 'sei': '13.56'}",CHEMBL5400230,,CHEMBL5400230,9.00,0,http://www.openphacts.org/units/Nanomolar,3991447,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623882,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4(F)CC(F)(CC(F)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '20.81', 'le': '0.41', 'lle': '5.04', 'sei': '13.56'}",CHEMBL5422486,,CHEMBL5422486,9.00,0,http://www.openphacts.org/units/Nanomolar,3991452,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623886,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)NC12CC3CC(C1)CC(NC1=N/C(=C\c4ccc5ncsc5c4)C(=O)N1)(C3)C2,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '20.66', 'le': '0.40', 'lle': '6.06', 'sei': '9.43'}",CHEMBL5422654,,CHEMBL5422654,9.00,0,http://www.openphacts.org/units/Nanomolar,3991456,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623887,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4CC(CC(NC(=O)C5CC5)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '19.50', 'le': '0.37', 'lle': '5.67', 'sei': '9.43'}",CHEMBL5418722,,CHEMBL5418722,9.00,0,http://www.openphacts.org/units/Nanomolar,3991457,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24396927,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.667', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '100.0'}]",CHEMBL5042806,Inhibition of DYRK1A (unknown origin) using Ulight-MBP as substrate and ATP as co-substrate incubated for 40 mins and measured after 1 hr by TR-FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1cc(-c2ccc3ncsc3c2)cc(N)n1,,,CHEMBL5042474,J Med Chem,2021,"{'bei': '37.14', 'le': '0.72', 'lle': '6.48', 'sei': '11.57'}",CHEMBL5092882,,CHEMBL5092882,9.00,0,http://www.openphacts.org/units/Nanomolar,3780255,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,1.0,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24396962,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.667', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '100.0'}]",CHEMBL5042806,Inhibition of DYRK1A (unknown origin) using Ulight-MBP as substrate and ATP as co-substrate incubated for 40 mins and measured after 1 hr by TR-FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1oc2ccc(-c3cc(N)nc(N)c3)cc2c1C,,,CHEMBL5042474,J Med Chem,2021,"{'bei': '35.53', 'le': '0.65', 'lle': '5.72', 'sei': '11.53'}",CHEMBL5073869,,CHEMBL5073869,9.00,0,http://www.openphacts.org/units/Nanomolar,3780290,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,1.0,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623888,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CS(=O)(=O)NC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '19.08', 'le': '0.38', 'lle': '6.65', 'sei': '8.00'}",CHEMBL5409574,,CHEMBL5409574,9.00,0,http://www.openphacts.org/units/Nanomolar,3991458,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623786,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncoc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '24.83', 'le': '0.46', 'lle': '5.79', 'sei': '11.32'}",CHEMBL5438293,,CHEMBL5438293,9.00,0,http://www.openphacts.org/units/Nanomolar,3991356,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623858,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '24.16', 'le': '0.47', 'lle': '5.84', 'sei': '11.90'}",CHEMBL5409730,,CHEMBL5409730,9.00,0,http://www.openphacts.org/units/Nanomolar,3991428,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
,,18152984,[],CHEMBL4034241,Inhibition of full-length recombinant human GST-tagged Dyrk1a expressed in baculovirus expression system using Alexa-Fluor tracer-236 incubated for 60 mins by TR-FRET based Lantha-screen Eu kinase assay,B,,,BAO_0000190,BAO_0000019,assay format,c1cc(-c2c[nH]c3cnccc23)ccn1,,,CHEMBL4033637,Bioorg Med Chem Lett,2017,"{'bei': '46.10', 'le': '0.82', 'lle': '6.38', 'sei': '21.65'}",CHEMBL4084955,,CHEMBL4084955,9.00,0,http://www.openphacts.org/units/Nanomolar,3011476,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24396958,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.667', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '100.0'}]",CHEMBL5042806,Inhibition of DYRK1A (unknown origin) using Ulight-MBP as substrate and ATP as co-substrate incubated for 40 mins and measured after 1 hr by TR-FRET assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCOc1ccccc1,,,CHEMBL5042474,J Med Chem,2021,"{'bei': '24.97', 'le': '0.46', 'lle': '5.95', 'sei': '8.58'}",CHEMBL5088511,,CHEMBL5088511,9.00,0,http://www.openphacts.org/units/Nanomolar,3780286,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,nM,UO_0000065,,1.0,9.000
,,18152983,[],CHEMBL4034241,Inhibition of full-length recombinant human GST-tagged Dyrk1a expressed in baculovirus expression system using Alexa-Fluor tracer-236 incubated for 60 mins by TR-FRET based Lantha-screen Eu kinase assay,B,,,BAO_0000190,BAO_0000019,assay format,Nc1nccc(-c2c[nH]c3cnccc23)n1,,,CHEMBL4033637,Bioorg Med Chem Lett,2017,"{'bei': '42.61', 'le': '0.77', 'lle': '7.40', 'sei': '11.18'}",CHEMBL4079572,,CHEMBL4079572,9.00,0,http://www.openphacts.org/units/Nanomolar,3011475,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25623782,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '60.0'}]",CHEMBL5363958,Inhibition of human DYRK1A using RBERCHKtide and [gamma33P]ATP as substrate incubated for 60 mins by radiometric 33PanQinase assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,,,CHEMBL5360622,J Med Chem,2023,"{'bei': '23.78', 'le': '0.46', 'lle': '5.32', 'sei': '13.56'}",CHEMBL5091238,,CHEMBL5091238,9.00,0,http://www.openphacts.org/units/Nanomolar,3991352,=,1,1,=,,IC50,nM,,1.0,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.001,9.000
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,25065047,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.833', 'text_value': None, 'type': 'TIME', 'units': 'min', 'value': '110.0'}]",CHEMBL5251379,Inhibition of recombinant human DYRK1A expressed in Escherichia coli using DYRKtide peptide as substrate incubated for 110 mins in presence of ATP by non-radioactive ADP-Glo luminescence microplate reader assay,B,,,BAO_0000190,BAO_0000019,assay format,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1C(C)C,,,CHEMBL5247649,J Med Chem,2023,"{'bei': '31.73', 'le': '0.58', 'lle': '6.41', 'sei': '9.37'}",CHEMBL4441878,,CHEMBL4441878,8.96,0,http://www.openphacts.org/units/Nanomolar,3928673,=,1,1,=,,IC50,nM,,1.1,CHEMBL2292,Homo sapiens,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,9606,,,IC50,uM,UO_0000065,,0.0011,8.959
