fingerprint,model,feature_count,accuracy,f1,precision,recall,roc_auc,timestamp,random_seed
morgan,RandomForest,2048,0.7485714285714286,0.8320610687022901,0.7730496453900709,0.9008264462809917,0.8559840832568105,2025-06-08T18:16:46.190737,42
morgan,GradientBoosting,2048,0.7657142857142857,0.8312757201646092,0.8278688524590164,0.8347107438016529,0.8524640342822161,2025-06-08T18:16:51.292728,42
morgan,AdaBoost,2048,0.7714285714285715,0.829059829059829,0.8584070796460177,0.8016528925619835,0.8277471686562596,2025-06-08T18:16:53.268077,42
morgan,XGBoost,2048,0.7542857142857143,0.8200836820083681,0.8305084745762712,0.8099173553719008,0.8518518518518519,2025-06-08T18:16:53.575722,42
morgan,LightGBM,2048,0.8057142857142857,0.8547008547008548,0.8849557522123894,0.8264462809917356,0.8594276094276094,2025-06-08T18:16:53.738289,42
morgan,SVM_linear,2048,0.7371428571428571,0.7946428571428571,0.8640776699029126,0.7355371900826446,0.8287419651056016,2025-06-08T18:16:54.922299,42
morgan,LogisticRegression,2048,0.7771428571428571,0.8326180257510729,0.8660714285714286,0.8016528925619835,0.8396082032445669,2025-06-08T18:16:55.130889,42
morgan,MLP,2048,0.7885714285714286,0.8451882845188284,0.8559322033898306,0.8347107438016529,0.8524640342822162,2025-06-08T18:16:57.751461,42
morgan,NaiveBayes,2048,0.6228571428571429,0.6796116504854368,0.8235294117647058,0.5785123966942148,0.7046985001530457,2025-06-08T18:16:57.808973,42
morgan,KNN,2048,0.7714285714285715,0.8449612403100776,0.7956204379562044,0.9008264462809917,0.8138965411692685,2025-06-08T18:16:57.981329,42
morgan,DecisionTree,2048,0.7657142857142857,0.8110599078341013,0.9166666666666666,0.7272727272727273,0.8239975512702784,2025-06-08T18:16:58.099329,42
maccs,RandomForest,167,0.7771428571428571,0.8433734939759036,0.8203125,0.8677685950413223,0.8472604836241199,2025-06-08T18:16:58.292642,42
maccs,GradientBoosting,167,0.8057142857142857,0.8583333333333334,0.865546218487395,0.8512396694214877,0.866850321395776,2025-06-08T18:16:58.725131,42
maccs,AdaBoost,167,0.7314285714285714,0.8081632653061224,0.7983870967741935,0.8181818181818182,0.7450260177532905,2025-06-08T18:16:58.911178,42
maccs,XGBoost,167,0.76,0.8235294117647057,0.8376068376068376,0.8099173553719008,0.8393021120293848,2025-06-08T18:16:58.961175,42
maccs,LightGBM,167,0.7942857142857143,0.8487394957983193,0.8632478632478633,0.8347107438016529,0.8448117539026629,2025-06-08T18:16:58.997176,42
maccs,SVM_linear,167,0.7371428571428571,0.8130081300813008,0.8,0.8264462809917356,0.7240587695133149,2025-06-08T18:17:00.303179,42
maccs,LogisticRegression,167,0.7428571428571429,0.8132780082987552,0.8166666666666667,0.8099173553719008,0.7465564738292011,2025-06-08T18:17:00.329180,42
maccs,MLP,167,0.7314285714285714,0.7999999999999999,0.8245614035087719,0.7768595041322314,0.7730333639424549,2025-06-08T18:17:00.796029,42
maccs,NaiveBayes,167,0.68,0.8095238095238095,0.6878612716763006,0.9834710743801653,0.48561371288644023,2025-06-08T18:17:00.807030,42
maccs,KNN,167,0.7428571428571429,0.811715481171548,0.8220338983050848,0.8016528925619835,0.7826752372206918,2025-06-08T18:17:00.845031,42
maccs,DecisionTree,167,0.7714285714285715,0.8319327731092436,0.8461538461538461,0.8181818181818182,0.8058616467707378,2025-06-08T18:17:00.867081,42
descriptors,RandomForest,40,0.7771428571428571,0.8421052631578947,0.8253968253968254,0.859504132231405,0.8140495867768595,2025-06-08T18:17:01.109683,42
descriptors,GradientBoosting,40,0.7428571428571429,0.8085106382978725,0.8333333333333334,0.7851239669421488,0.8388429752066117,2025-06-08T18:17:03.711264,42
descriptors,AdaBoost,40,0.7428571428571429,0.811715481171548,0.8220338983050848,0.8016528925619835,0.7852770125497398,2025-06-08T18:17:04.324152,42
descriptors,XGBoost,40,0.7657142857142857,0.8270042194092827,0.8448275862068966,0.8099173553719008,0.852157943067034,2025-06-08T18:17:04.395718,42
descriptors,LightGBM,40,0.76,0.8235294117647057,0.8376068376068376,0.8099173553719008,0.8357820630547904,2025-06-08T18:17:04.431225,42
descriptors,SVM_linear,40,0.7085714285714285,0.7901234567901234,0.7868852459016393,0.7933884297520661,0.6818181818181818,2025-06-08T18:17:04.713376,42
descriptors,LogisticRegression,40,0.7142857142857143,0.7967479674796748,0.784,0.8099173553719008,0.7061524334251607,2025-06-08T18:17:04.730375,42
descriptors,MLP,40,0.7771428571428571,0.8433734939759036,0.8203125,0.8677685950413223,0.8033363942454852,2025-06-08T18:17:04.990905,42
descriptors,NaiveBayes,40,0.6342857142857142,0.7217391304347825,0.7614678899082569,0.6859504132231405,0.5898377716559535,2025-06-08T18:17:04.999906,42
descriptors,KNN,40,0.7428571428571429,0.8163265306122448,0.8064516129032258,0.8264462809917356,0.7773186409550047,2025-06-08T18:17:05.029904,42
descriptors,DecisionTree,40,0.7485714285714286,0.811965811965812,0.8407079646017699,0.7851239669421488,0.7646158555249464,2025-06-08T18:17:05.082904,42
topological,RandomForest,2048,0.8,0.8523206751054853,0.8706896551724138,0.8347107438016529,0.8550658096112642,2025-06-08T18:17:05.331925,42
topological,GradientBoosting,2048,0.8057142857142857,0.8559322033898306,0.8782608695652174,0.8347107438016529,0.8663911845730028,2025-06-08T18:17:15.822707,42
topological,AdaBoost,2048,0.7542857142857143,0.8185654008438819,0.8362068965517241,0.8016528925619835,0.8080042852770125,2025-06-08T18:17:18.720958,42
topological,XGBoost,2048,0.7885714285714286,0.8451882845188284,0.8559322033898306,0.8347107438016529,0.8711355984083257,2025-06-08T18:17:19.042832,42
topological,LightGBM,2048,0.8057142857142857,0.8583333333333334,0.865546218487395,0.8512396694214877,0.8582797673706765,2025-06-08T18:17:19.349916,42
